LeadID,CreatedAt,UpdatedAt,FirstContactAt,ConvertedAt,Phone,Country,Region,City,PreferredLanguage,CourseID,CourseNameRaw,ManagerID,LeadStatus,LeadStage,LeadTemperature,LeadScore,Source,Medium,Campaign,Content,Term,LandingPage,DeviceType,ReferrerDomain,FirstTouchSource,LastTouchSource,ExpectedCoursePrice,ExpectedCurrency,DiscountRequested,IsDuplicateCandidate,FullName_en,ManagerNameRaw_en,Email_en
LEAD0000001,2024-01-01 00:00:01,2024-03-01 07:27:16,2024-01-01 00:27:16,,+380815156336,Ukraine,Kyiv Oblast,Unknown,RU,CRS0008,IT Start (Free),MGR0008,IN PROGRESS,Принимает решение,COLD,30,referral,referral,,nan,nan,/ua/start,MOBILE,prog.academy,referral,referral,0.0,UAH,True,True,Nan,Vasil' G.,artur.poljakov1127@icloud.com
LEAD0000002,2024-01-01 00:00:46,2024-04-01 10:40:33,2024-01-01 19:40:33,,+380113586793,Ukraine,Lviv Oblast,Lviv,UA,CRS0014,AI Automation Bundle,MGR0006,IN PROGRESS,"ЯЩ (я еще горячий, но уже остываю)",WARM,53,direct,notset,,nan,nan,/ua/ai-automation,MOBILE,nan,direct,direct,21750.0,UAH,True,True,Katherine Sorokin,John Z.,katherine.sorokin5692@gmail.com
LEAD0000003,2024-01-01 00:09:30,2024-01-01 00:00:00,2024-01-01 08:56:19,,+380983031290,Ukraine,Kharkiv Oblast,Kharkiv,RU,CRS0017,QA Engineer,MGR0007,WON,Закрыто и не реализовано (неправильный номер),COLD,37,telegram,broadcast,Search - Курс Web Design - Ukraine New,ad_3,nan,/ua/qa,DESKTOP,t.me,telegram,telegram,28200.0,UAH,True,True,Marie Małycha,Orest K.,marie.małycha4491@gmail.com
LEAD0000004,2024-01-01 00:11:33,2024-02-01 22:56:50,2024-01-01 03:56:50,,+380674161203,Ukraine,Lviv Oblast,Lviv,RU,CRS0013,Web Design,MGR0003,LOST,Закрыто и не реализовано (передумал),WARM,38,telegram,broadcast,da_free,ad_4,nan,/ua/frontend,DESKTOP,t.me,telegram,telegram,28130.0,UAH,True,True,Tobiasz Bragina,Oksana B,tobiasz.bragina7657@gmail.com
LEAD0000005,2024-01-01 00:21:07,2024-02-01 11:05:10,2024-01-01 11:05:10,,+380659994537,Ukraine,Lviv Oblast,Lviv,UA,CRS0001,AI Automation,MGR0005,LOST,Закрыто и не реализовано (дорого),COLD,43,referral,referral,,nan,nan,/ua/ai-automation,DESKTOP,prog.academy,referral,referral,38850.0,UAH,True,True,Ruth Arhipenko,Ilarion D.,ruth.arhipenko894@outlook.com
LEAD0000006,2024-01-01 00:39:49,2024-03-01 20:54:10,2024-01-01 06:54:10,,+49819415785,Germany,Berlin Region,Berlin,DE,CRS0006,FullStack Java,MGR0007,LOST,Закрыто и не реализовано (не актуально),COLD,47,instagram,cpc,52668241941290,ad_6,kw_5,/ua/fullstack,MOBILE,instagram.com,instagram,meta,38420.0,EUR,True,True,Miron Bełz,Orest K.,miron.bełz5020@yahoo.com
LEAD0000007,2024-01-01 01:11:54,2024-02-01 22:23:51,2024-01-01 03:23:51,,+7147565229,Kazakhstan,Almaty Region,Almaty,RU,CRS0017,QA Engineer,MGR0006,LOST,Закрыто и не реализовано (недозвон),COLD,44,instagram,cpc,unknown,ad_7,kw_6,/ua/qa,MOBILE,instagram.com,instagram,instagram,28460.0,USD,True,True,Paweł Rak,John Z.,paweł.rak8054@gmail.com
LEAD0000008,2024-01-01 01:26:17,2024-03-01 05:38:46,2024-01-01 00:00:00,,+380540633447,Ukraine,Kharkiv Oblast,Kharkiv,RU,CRS0005,Fronted-end - online,MGR0004,LOST,Закрыто и не реализовано,WARM,52,organic,organic,,nan,nan,/ua/frontend,MOBILE,google.com,organic,organic,27970.0,UAH,True,True,Wojciech Vasquez,Vasyl F.,wojciech.vasquez2301@ukr.net
LEAD0000009,2024-01-01 01:26:41,2024-01-01 08:31:41,2024-01-01 03:31:41,,+380378166025,Ukraine,Kharkiv Oblast,Kharkiv,UA,CRS0014,AI Automation Bundle,MGR0004,LOST,Закрыто и не реализовано (спам),COLD,24,google,cpc,Search - Курс Web Design - Ukraine NEW,ad_9,kw_8,/ua/ai-automation,DESKTOP,google.com,google,google,23710.0,UAH,True,True,Evdokija Grigor'Eva,Vasyl F.,evdokija.grigor'eva2365@yahoo.com
LEAD0000010,2024-01-01 01:32:04,2024-02-01 00:35:12,2024-01-01 06:35:12,,+380175531620,Ukraine,Vinnytsia Oblast,Vinnytsia,RU,CRS0014,ai-automation-gift,MGR0007,LOST,Закрыто и не реализовано (наберет сам если решит),COLD,27,email,email,Search - DevOps - Ukraine,ad_10,nan,/ua/ai-automation,MOBILE,nan,email,email,20620.0,UAH,True,True,April Efremova,Orest K.,april.efremova1462@gmail.com
